FIPS,2016,2017,2018,2019,2020,2021,2022,2023
p53007,924271.9241707519,945045.6238235452,918155.0737239046,923089.862825387,889418.8295029132,908909.8144736253,934577.0558859638,916933.0623439756
p53029,995394.1339312777,1031154.7902082641,1007575.6644067036,1018041.3731971021,976522.1147567384,997638.4067562169,1012156.8299845962,988800.3861298267
p53033,26396367.845591042,27297249.82862967,26657073.596827377,26936790.50978628,25528019.81876807,25668174.60719482,26451281.70426658,26034769.04317486
p53035,3206311.550591787,3298320.455612834,3221246.685846338,3246035.936927413,3096016.681516217,3151175.2196776746,3243929.828666974,3182541.848123099
p53037,547361.9850714984,571947.1903021839,566525.7971312366,573164.6706545975,500608.17255610216,508639.9592265411,526874.5585307786,521616.9331493636
p53053,10514133.834385617,10895608.838749073,10691664.139972666,10820956.788338326,10366963.418079281,10565880.064209042,10818186.56338454,10644800.020833291
p53055,198720.5960226853,207209.47129602463,204847.9190437792,210230.12912170927,200090.61378024344,212114.6547402787,218026.72215076233,212805.2206392521
p53057,1506067.9275364503,1558932.6353827282,1529241.6334362016,1544920.0223621002,1458104.5052889702,1492538.4221855307,1533403.2351265217,1506313.889946601
p53061,9590714.840604318,9934869.844124401,9726316.527085733,9829747.198200552,9315707.582546774,9525643.274486132,9813677.950142058,9682729.235830832
p53067,3335128.4088388793,3471480.1429054653,3421979.4633255843,3473974.5645833765,3322473.9985260013,3397343.5162172173,3487108.0910658482,3427200.225508903
p53073,2636980.5156319505,2742438.223423565,2693946.3224072615,2741134.4790561073,2553035.454600168,2582801.8231966873,2692616.0065617766,2658277.171465836
p53003,271548.6665621169,278801.96003360744,270546.6326263788,270015.7419990012,250579.0902070097,255989.05238797519,263145.362595843,258458.7374875846
p53005,2357670.182525812,2454953.5065378733,2407908.095809749,2443916.2831979385,2328205.711863812,2399351.92682608,2485133.3145150277,2466860.216565722
p53009,904593.6016140877,936858.3167205103,915750.5869376514,924656.2458827721,868417.5090506056,893962.2139247346,907090.1822814815,889641.8186543246
p53011,5669208.973736393,5875798.685090529,5759128.656942857,5837957.483364375,5672242.2633502,5839852.082432929,6033765.762854461,5973469.823125403
p53013,48434.261401077565,49569.74739235403,48317.02552077927,47649.13346320165,44326.14348806134,45754.24070453106,47010.26046374085,46455.863365877885
p53015,1276227.5570185822,1322912.7611795033,1300958.940192074,1322374.0569876689,1246093.3130371338,1272425.8897125376,1308533.9862415933,1293657.6765177501
p53023,27366.880781589993,27435.52985358925,26796.270652771866,26604.5977303949,25749.347470654015,26705.164395274103,27521.903604827916,27084.926013710694
p53027,871585.195542259,897878.8077140789,882853.3796630431,897513.5776364816,851445.8380063035,875414.4290973002,899582.0855407498,885905.1763011847
p53031,376629.69054271886,386574.66669549455,379765.3607780784,385270.4465038445,371098.158991845,382268.9338543652,391985.7038668108,386433.0070360738
p53039,259363.9467127892,269413.18728912855,264804.57462935627,268138.47375465423,256079.16878618163,263941.35816779657,272101.3660175244,270379.3143196875
p53041,934482.7194044885,970090.608637973,951853.7765939306,965023.4916975196,926628.5447885357,963493.6210511671,996685.2464986409,987505.1696086462
p53045,757182.8608769213,789499.1751096067,782116.1496777788,798353.1601182052,741208.5487694714,766132.886059984,796010.0511857123,783881.0855487349
p53049,259351.76199293986,269301.71109559253,264062.89213807415,268688.5013931253,263723.1555462145,273351.96644019266,281349.2861087521,277382.6532085479
p53059,141111.24057506397,146269.15216299568,142582.47763856602,144477.91207926362,135156.01259552964,139096.9932175348,145432.8847679812,144880.85688248122
p53069,50700.619293052514,52653.92208018415,52814.97095178026,53663.56611865722,49927.24391868747,52248.24399177775,54740.21387332765,54616.87365862524
p53071,731180.668718456,749516.3803613511,725114.2614365029,726514.7676848513,702921.2670683375,708769.1903559716,722236.870457964,705698.1484604909
p53077,3037979.645873325,3095594.8045457033,2997378.1996874213,2999719.2118729707,2881738.1099317423,2924796.5436818996,3001125.2196051194,2941665.9614628665
p53001,236005.83876162802,243402.07546405523,236094.28464424354,238939.18042538484,231306.3658795847,235231.02784523228,244018.9824071675,238640.77850421355
p53019,91763.12518528683,93838.1824698836,91370.49787762121,91196.97388302107,80795.03186301987,83054.88414741818,87201.34752687946,85931.31202911091
p53021,1099049.5456895083,1138246.253465209,1124522.2456127293,1138581.125880298,1090474.763197052,1117674.9306762714,1151109.164688649,1135136.9288369974
p53043,125929.07964280168,131108.3898420958,128311.07099179957,130798.96385293924,122662.9769656962,128558.47911103797,135601.13133766083,134542.04889925354
p53047,506628.466615196,519169.40578473744,503829.7013762467,505104.7289550884,472995.53315862664,487300.892284413,507467.93833933864,501031.01392777055
p53051,159997.55634152188,165455.44369491882,162524.16655739222,164099.55022559082,151555.22648159132,158259.99940902414,165084.71496184007,164607.11912098996
p53063,6054453.261212586,6262769.711585263,6144037.944676602,6251159.768204491,6074500.051190578,6214989.005659547,6419130.79665596,6320828.554757017
p53065,537845.7188691736,552872.3749637967,540997.5642861405,546715.5155176836,522967.67567796045,542522.7062024563,563784.5022282165,559774.2411052006
p53075,594906.7619235751,611657.4876884625,594338.8905543146,599099.6695207667,536616.8502744362,492450.5229613174,555564.1288137919,550318.0142912728
p53017,504033.1212872892,520556.66508207464,511390.07773899304,519285.87632958207,482985.4718024288,499434.4247421634,516377.2350938926,513478.8470428318
p53025,1148056.4889235043,1181115.043001675,1156450.48060034,1168605.460667274,1116190.4367172213,1144163.628295304,1186115.8117006447,1176904.7961217887
p41003,1040264.3903480119,1107842.6372439591,1089615.8151413023,1111314.9691614248,1143635.866090434,1224334.0220368311,1296874.0123711515,1337670.3576012235
p41005,4704258.410165488,4977893.37607771,4896517.204979762,4994330.89753913,5074354.160895388,5386962.924754697,5618729.465871299,5793149.102342396
p41007,447467.09323917795,471922.37671724637,468074.39946210873,480387.8791607917,494405.64958949777,532996.6903587836,553111.2354295288,562677.7095998024
p41009,588921.6707518577,624273.3693082747,615812.9233687862,625254.2518293578,633279.3224079657,676249.4018999333,711865.7927031294,737605.8341014391
