Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,ba_codes,eia_codes,timezone_shift,start_time,end_time
2016,1,01/10/2016  8:46 PM,01/11/2016  5:25 AM,"8 Hours, 39 Minutes",ISO New England,NPCC,Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,59859,['ISNE'],"['4003', '4006', '4005', '4002', '4007', '4001', '4008']",5.0,2016-01-11 02:00:00,2016-01-11 11:00:00
2016,1,01/22/2016  3:52 PM,01/24/2016 12:30 PM,"44 Hours, 38 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,150000,"['CPLE', 'CPLW']","['CPLE', 'CPLW']",5.0,2016-01-22 21:00:00,2016-01-24 18:00:00
2016,1,01/23/2016  7:49 AM,01/23/2016  9:05 AM,"1 Hours, 16 Minutes",FirstEnergy Corp. Jersey Central Power & Light,RFC,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,50900,['PJM'],['JC'],5.0,2016-01-23 13:00:00,2016-01-23 15:00:00
2016,2,02/05/2016 11:21 AM,02/06/2016  3:48 PM,"28 Hours, 27 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,115057,['ISNE'],"['4006', '4005', '4008', '4007']",5.0,2016-02-05 17:00:00,2016-02-06 21:00:00
2016,2,02/13/2016 12:44 PM,02/13/2016  4:27 PM,"3 Hours, 43 Minutes",Pacific Gas & Electric Co,SERC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,7,4300,['CISO'],['PGAE'],8.0,2016-02-13 21:00:00,2016-02-14 01:00:00
2016,2,02/16/2016  8:35 AM,02/16/2016  5:28 PM,"8 Hours, 53 Minutes","American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,"Virginia: Roanoke County, Montgomery County; West Virginia: Kanawha County, Cabell County; Tennessee: Sullivan County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,52640,['PJM'],['AEP'],5.0,2016-02-16 14:00:00,2016-02-16 23:00:00
2016,2,02/19/2016 10:00 PM,02/20/2016 11:13 PM,"25 Hours, 13 Minutes",Detroit Edison Co,RFC,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,145314,['MISO'],['0027'],5.0,2016-02-20 04:00:00,2016-02-21 05:00:00
2016,2,02/24/2016  2:45 PM,02/25/2016  5:00 AM,"14 Hours, 15 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",400,284610,['DUK'],['DUK'],5.0,2016-02-24 20:00:00,2016-02-25 11:00:00
2016,2,02/25/2016  1:44 AM,02/25/2016  2:45 PM,"13 Hours,  1 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,114190,['ISNE'],"['4003', '4006', '4005', '4007', '4001', '4008']",5.0,2016-02-25 07:00:00,2016-02-25 20:00:00
2016,3,03/23/2016  5:00 AM,03/25/2016 11:59 PM,"66 Hours, 59 Minutes",Xcel Energy/Public Service Company of Colorado,WECC,"Colorado: Denver, City and County of;","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",0,0,['PSCO'],['PSCO'],7.0,2016-03-23 12:00:00,2016-03-26 06:00:00
