FIPS,2016,2017,2018,2019,2020,2021,2022,2023
p01001,975954.315275442,957409.3433087898,997501.7012738852,980423.3611982142,951621.4452332691,973156.6211683445,993146.5414642987,971823.1362902272
p01003,3667597.556350977,3673399.3690075334,3913181.9482293813,3917446.6808735104,3767186.8761337465,3935808.121479101,4099410.8095927234,4082794.2032336784
p01005,455903.50017193233,434835.6535406973,446758.90576925565,433205.0169958137,403310.46195416275,403264.2161228822,410720.95191655523,395947.62861183315
p01007,399017.14542677137,389773.9789061782,401763.2858371236,392983.600040681,358390.50542027963,367528.8227404526,365591.53234159446,352189.65802251635
p01009,1016000.8262345535,999081.5211048058,1037999.7149630064,1015010.0006798636,954972.3825411003,971417.7100020426,989962.492562489,963650.7409785626
p01011,183537.99361722873,175890.90950551082,182748.67752076252,177258.52210462262,165223.38561132323,166726.81466328594,168661.6443437093,159393.68234172513
p01013,353543.394770236,343761.6360304245,352618.36921663943,341285.3913365707,307300.313936399,310506.7069890044,310418.5720800912,296046.7483889655
p01015,2038243.2233055162,1988787.6442545324,2061124.7784862923,1999678.6824725873,1883824.920179905,1908891.7093530302,1932816.7147883037,1882485.3520839252
p01017,596158.3977874081,582621.3528598911,603534.0637603323,583561.518074163,559698.4587758298,566900.7575773839,568091.9271772143,548850.8942632768
p01019,482674.13773129403,469583.0993731385,496747.02313392155,483956.6979559881,426451.3412449355,440033.0418344304,450358.3087098239,441503.65316501237
p01021,774961.7506991392,762608.7782412674,793270.0850549869,779649.7000360533,727780.8275969689,743950.3997678852,762377.9029745031,747782.9710830192
p01023,230462.10744103105,223408.8054300748,230512.42769221074,220921.35643948405,203942.68935698463,206261.32749763347,206709.53857830985,197324.03658713223
p01025,430004.30885006714,415925.99797868583,429622.8493160604,414533.29463967885,371296.31098323275,373791.5572752758,375369.0189702153,359743.0213667893
p01027,236608.3692863167,230753.10946330286,238791.12629850773,232255.8697212831,229558.58405593177,232921.12430038076,235840.29396892726,227261.21567384902
p01029,262313.23190548556,257527.38717703722,269614.4769606432,261649.7966554832,243320.47248471197,249128.62482194527,255611.44008230194,251870.04510564962
p01031,904563.7067272449,896272.7329588496,933142.6967961091,918529.409365425,864947.4118780674,890902.7534196427,911900.2835264733,896144.5555764992
p01033,1078832.6465191531,1045199.2003456558,1112625.876314999,1071676.4058622965,1031801.2121120411,1075683.2809732365,1095969.8226444053,1067901.3873488274
p01035,220832.12245792276,214868.30739612863,220792.8783256549,211759.09179650343,186625.3785661579,186073.89746508893,186636.92163204117,179960.08957122735
p01037,191134.61862978127,185363.0221636299,191173.0071607505,187120.84161979915,166935.54504771007,169537.64827340347,171388.69843740627,165368.730957344
p01039,660411.7121377654,640612.1155752006,663761.7338730822,650158.4977184599,605813.6964256809,617561.5130533031,625276.9212517502,611226.536549778
