r,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
p01007,AL,0.003415837,0.003169057,0.006626945,0.011383289,0.0165,0.019763602,0.0231,0.034476977,0.029551419,0.043764842
p01023,AL,0.003415837,0.00363515,0.008835926,0.013598883,0.0176,0.021407303,0.0253,0.037350075,0.031740413,0.046159718
p01033,AL,0.047821714,0.043900698,0.090568242,0.105048881,0.0847,0.089603857,0.0946,0.125697928,0.097410233,0.127398228
p01043,AL,0.083688,0.088128994,0.212062226,0.374132978,0.5555,0.609932922,0.6655,0.904305915,0.715801037,1.034264449
p01049,AL,0.023910857,0.02264949,0.048597593,0.054268996,0.0396,0.041779768,0.044,0.058898438,0.045968874,0.058867909
p01057,AL,0.001707918,0.001351481,0.002208982,0.003005012,0.0033,0.004387557,0.0055,0.007900986,0.006566982,0.009634774
p01059,AL,0.030742531,0.036445102,0.097195187,0.177612049,0.2717,0.238582014,0.2046,0.224103584,0.137906622,0.159452707
p01063,AL,0.001707918,0.001351481,0.002208982,0.002610303,0.0022,0.002743856,0.0033,0.004309647,0.003283491,0.004817387
p01065,AL,0.001707918,0.001351481,0.002208982,0.002215594,0.0011,0.001100155,0.0011,0.001436549,0.001094497,0.001605796
p01071,AL,0.044405878,0.043528204,0.097195187,0.127878728,0.1331,0.155947696,0.1793,0.256422961,0.212332418,0.299681997
p01073,AL,0.097351347,0.097542564,0.223107134,0.376922061,0.5379,0.664078498,0.7931,1.208129762,1.051811615,1.650159388
p01075,AL,0.003415837,0.003169057,0.006626945,0.007041491,0.0044,0.00440062,0.0044,0.005746195,0.004377988,0.00519811
p01077,AL,0.032450449,0.030805178,0.066269446,0.084624434,0.0836,0.09665689,0.11,0.155146756,0.126961652,0.178513508
p01079,AL,0.01024751,0.009973263,0.022089815,0.025313613,0.0198,0.021976976,0.0242,0.032322317,0.025173431,0.032849725
p01083,AL,0.035866286,0.034440328,0.075105372,0.083619088,0.0605,0.063769807,0.0671,0.088347723,0.067858814,0.082408313
p01089,AL,0.420147918,0.50025816,1.338642802,2.747024311,4.5804,4.040217736,3.4859,3.848546445,2.395853929,3.71885729
p01091,AL,0.003415837,0.003169057,0.006626945,0.009804454,0.0121,0.01427589,0.0165,0.0244212,0.020795443,0.032143549
p01093,AL,0.008539592,0.008155688,0.017671852,0.01890888,0.0121,0.012101706,0.0121,0.015802038,0.012039467,0.013988534
p01095,AL,0.085395918,0.08248907,0.181136485,0.250358069,0.2816,0.338168482,0.396,0.552351441,0.447649272,0.612259463
p01103,AL,0.052945469,0.051217798,0.112658058,0.126415404,0.0935,0.103297011,0.1133,0.155865193,0.124772658,0.162234471
p01105,AL,0.001707918,0.001351481,0.002208982,0.002215594,0.0011,0.001100155,0.0011,0.001436549,0.001094497,0.001605796
p01107,AL,0.003415837,0.003169057,0.006626945,0.012567416,0.0198,0.025238251,0.0308,0.043814577,0.036118401,0.051766185
p01117,AL,0,0,0,0,0,0,0,0,0,0
p01119,AL,0.003415837,0.003169057,0.006626945,0.01098858,0.0154,0.019206993,0.0231,0.033040493,0.027362425,0.038511462
p01125,AL,0.005123755,0.004520538,0.008835926,0.011625339,0.0121,0.011014614,0.0099,0.01292894,0.009850473,0.014452161
p01127,AL,0.017079184,0.01677747,0.037552686,0.069241812,0.1067,0.137153616,0.1683,0.242775714,0.202481945,0.288496697
p01131,AL,0.008539592,0.009553969,0.024298797,0.047264652,0.0759,0.066670423,0.0572,0.064645157,0.041590886,0.065920529
p01133,AL,0.013663347,0.01314232,0.02871676,0.031170977,0.0209,0.021446493,0.022,0.028730977,0.02188994,0.025990549
p01001,AL,0.034158367,0.041012439,0.110449076,0.239454808,0.4136,0.363652101,0.3124,0.360575923,0.238600346,0.383957151
p01003,AL,0.215197714,0.210836812,0.470513064,0.522444294,0.3751,0.402330189,0.4301,0.574618961,0.447649272,0.545697166
