Town,County,planning_region_FIPS,2016,2017,2018,2019,2020,2021,2022,2023
Bridgeport,Fairfield,p09120,145936,146579,144900,144399,148698,148333,148377,148028
Easton,Fairfield,p09120,7561,7579,7517,7521,7603,7594,7630,7636
Fairfield,Fairfield,p09120,61160,62105,61952,62045,61472,61949,62871,63433
Monroe,Fairfield,p09120,19658,19635,19470,19434,18808,18764,18796,18831
Stratford,Fairfield,p09120,52148,52345,51967,51849,52265,52268,52477,52454
Trumbull,Fairfield,p09120,36237,36154,35802,35673,36742,36950,37135,37269
Shelton,Fairfield,p09140,41334,41397,41097,41129,40756,41474,41897,42144
Norwalk,Fairfield,p09190,88438,89005,89047,88816,91194,91194,91401,92458
Bethel,Fairfield,p09190,19627,19802,19714,19800,20331,20537,20684,20678
Brookfield,Fairfield,p09190,17098,17133,17002,16973,17517,17482,17543,17489
Danbury,Fairfield,p09190,84992,85246,84730,84694,86570,86759,86967,86124
Darien,Fairfield,p09190,21744,21887,21753,21728,21527,21500,21926,22020
Greenwich,Fairfield,p09190,62359,62855,62727,62840,63502,63514,63638,63574
New Canaan,Fairfield,p09190,20280,20376,20213,20233,20605,20732,20775,20862
New Fairfield,Fairfield,p09190,14005,14017,13877,13878,13570,13545,13536,13487
Newtown,Fairfield,p09190,27865,27965,27774,27891,27154,27522,27577,27673
Ridgefield,Fairfield,p09190,25063,25187,25008,24959,25009,25011,25007,24931
Sherman,Fairfield,p09190,3641,3643,3614,3630,3521,3521,3537,3530
Stamford,Fairfield,p09190,129113,130824,129775,129638,135511,136309,136188,136226
Weston,Fairfield,p09190,10302,10331,10247,10252,10360,10336,10354,10344
Westport,Fairfield,p09190,27840,28042,28115,28491,27128,27279,27427,27470
Wilton,Fairfield,p09190,18560,18581,18397,18343,18465,18460,18457,18400
Redding,Fairfield,p09190,9216,9233,9125,9116,8742,8735,8746,8719
Canton,Hartford,p09110,10287,10298,10270,10254,10125,10083,10091,10146
Granby,Hartford,p09110,11247,11357,11375,11507,10891,10953,11041,11249
Marlborough,Hartford,p09110,6402,6397,6358,6335,6127,6093,6109,6106
Avon,Hartford,p09110,18364,18352,18302,18276,18918,18848,18871,18883
Berlin,Hartford,p09110,20499,20505,20432,20436,20154,20113,20197,20429
Bloomfield,Hartford,p09110,20642,21406,21301,21211,21460,21480,21560,21884
East Granby,Hartford,p09110,5170,5166,5147,5140,5218,5180,5218,5218
East Hartford,Hartford,p09110,50237,50319,49998,49872,51016,50731,50718,50654
Enfield,Hartford,p09110,44368,44585,44466,43659,42128,42031,41245,40792
Farmington,Hartford,p09110,25524,25572,25506,25497,26673,26645,26728,26798
Glastonbury,Hartford,p09110,34584,34575,34491,34482,35108,35054,35199,35204
Hartford,Hartford,p09110,123243,123400,122587,122105,121026,120576,120686,119669
Manchester,Hartford,p09110,57873,57932,57699,57584,59693,59426,59461,59408
New Britain,Hartford,p09110,72558,72710,72453,72495,74125,73841,74396,74080
Newington,Hartford,p09110,30423,30404,30112,30014,30464,30365,30356,31227
Plainville,Hartford,p09110,17677,17705,17623,17534,17516,17445,17479,17491
Simsbury,Hartford,p09110,24407,24952,24979,25395,24516,24807,24935,24953
Southington,Hartford,p09110,43685,43863,43807,43834,43447,43500,43753,43743
South Windsor,Hartford,p09110,25737,25937,26054,26162,26903,26767,26783,26773
West Hartford,Hartford,p09110,62903,63133,62939,62965,64019,63973,64271,63969
Wethersfield,Hartford,p09110,26195,26195,26082,26008,27272,27124,27129,27114
