DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
11/04/2018,1:00,9179.6904,1156.2227,2897.3606,721.7286,8621.1475,4602.9346,2754.325,1065.3036,30998.713,A3,N,N
11/04/2018,1:00,9224.7559,1156.6212,2919.8384,768.6561,8501.0439,4537.2686,2676.6936,1083.9579,30868.8356,A6,N,N
11/04/2018,1:00,8858.0498,1170.53,2854.3301,730.684,8559.2598,4731.0801,2658.0701,1044.66,30606.6639,E,N,N
11/04/2018,1:00,8915.4102,1142.95,2876.5801,728.596,8533.9297,4705.04,2659.3201,1048.54,30610.3661,E1,Y,N
11/04/2018,1:00,8862.3096,1167.59,2853.4399,732.372,8542.0898,4728.9399,2666.99,1041.88,30595.6112,E2,N,N
11/04/2018,1:00,8917.6201,1142.71,2877,732.017,8540.8496,4701.54,2657.99,1047.99,30617.7167,E3,N,N
11/04/2018,1:00,8992.9727,1156.104,2879.7583,735.6757,8549.7207,4667.8008,2678.8982,1055.3887,30716.3191,M,N,N
11/04/2018,2:00,8658.7432,1076.1212,2845.6785,718.5558,8130.0625,4488.7144,2538.5088,1053.3541,29509.7385,A3,N,N
11/04/2018,2:00,8653.7393,1115.9033,2846.071,727.1693,8120.3882,4499.0874,2543.241,1054.5509,29560.1504,A6,N,N
11/04/2018,2:00,8700.4502,1122.45,2804.3101,751.479,8054.8701,4438.1802,2521.6799,1057.77,29451.1895,E,N,N
11/04/2018,2:00,8621.3496,1119.9,2797.6699,751.921,7981.8799,4434.3198,2521.1499,1052.84,29281.0301,E1,Y,N
11/04/2018,2:00,8631.2598,1115.74,2803.9399,763.974,8084.75,4490.9902,2539.77,1080.66,29511.0839,E2,N,N
11/04/2018,2:00,8619.3301,1122.62,2795.9199,764.517,7983.4302,4431.8901,2519.5901,1076.54,29313.8374,E3,N,N
