DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
07/26/2023,1:00,15736.2744,2017.067,6214.2798,1702.1787,17971.7539,10430.9902,4516.0581,1555.7417,60144.3438,A3,N,N
07/26/2023,1:00,15670.3213,2028.7076,6229.5713,1690.61,18086.3359,10361.1035,4478.3623,1604.0247,60149.0366,A6,N,N
07/26/2023,1:00,15346.2998,2020.04,5942.8101,1678.84,18133.6992,10231.2998,4585.6299,1604.91,59543.5288,E,N,N
07/26/2023,1:00,15347.7998,2022.88,5944.6499,1678.78,18144.9004,10239.2998,4585.6299,1605.87,59569.8098,E1,N,N
07/26/2023,1:00,15348.0996,2019.35,5943,1679.1801,18146.8008,10243.5996,4584.8599,1606.51,59571.4,E2,Y,N
07/26/2023,1:00,15349.5996,2035.09,5949.7202,1679.05,18139.9004,10263.0996,4586.9302,1606.51,59609.9,E3,N,N
07/26/2023,1:00,15414.9639,2021.5405,6000.9067,1682.8274,18108.7715,10293.2002,4566.3506,1597.6423,59686.2031,M,N,N
07/26/2023,2:00,14524.541,1866.808,5967.1582,1584.3547,16810.459,9610.3408,4336.0386,1511.0696,56210.7699,A3,N,N
07/26/2023,2:00,14628.6729,1862.2133,5978.8867,1583.1494,16774.0195,9567.5381,4311.6426,1534.0178,56240.1403,A6,N,N
07/26/2023,2:00,14594.9004,1859.8101,6045.6099,1595.6,16551.1992,9493,4360.3799,1521.35,56021.8495,E,N,N
07/26/2023,2:00,14592.7998,1860.6,6043.6001,1595.6,16552.4004,9504.0303,4360.3799,1523.61,56033.0205,E1,N,N
07/26/2023,2:00,14605,1879.12,5967.5498,1590.48,16801,9540.4805,4355.0698,1516.77,56255.4701,E2,Y,N
07/26/2023,2:00,14608.5996,1885.5,5960.7402,1590.4,16799.4004,9581.4502,4356.23,1516.77,56299.0904,E3,N,N
07/26/2023,2:00,14623.5039,1877.0659,5980.8398,1590.255,16731.459,9558.3506,4354.4868,1516.0315,56231.9925,M,N,N
07/26/2023,3:00,14024.6992,1800.0396,5889.522,1538.1443,15633.3809,8997.0381,4173.0371,1474.2015,53530.0627,A3,N,N
07/26/2023,3:00,14009.9463,1778.2007,5899.3081,1536.6406,15630.1436,9096.8662,4171.9678,1485.3314,53608.4047,A6,N,N
07/26/2023,3:00,14077.7002,1747.77,5968,1544.55,15641.0996,9174.6201,4170.1099,1444.74,53768.5898,E,N,N
07/26/2023,3:00,14080.4004,1749.14,5965.6802,1544.55,15645,9183.2695,4170.1099,1446.3,53784.45,E1,N,N
