DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
09/13/2020,1:00,13094.7979,1598.8051,3630.0034,880.0262,11750.1006,6857.6011,3449.7654,1170.8085,42431.9082,A3,N,N
09/13/2020,1:00,13008.0059,1486.9438,3599.0313,852.4565,11761.6953,6845.1577,3353.3184,1162.0562,42068.6651,A6,N,N
09/13/2020,1:00,13094.7002,1525.1,3533.3899,783.353,11840.5996,6678.5801,3413.1101,1170.09,42038.9229,E,N,N
09/13/2020,1:00,13018.9004,1522.99,3548.5601,786.748,11736.7002,6717.77,3425.6699,1157.46,41914.7986,E1,N,N
09/13/2020,1:00,13009.9004,1524.25,3572.3101,784.092,11711,6715.3799,3425.96,1164.55,41907.4424,E2,N,N
09/13/2020,1:00,13009.5,1523.42,3551.3799,781.797,11712,6715.9102,3425.52,1164.5,41884.0271,E3,Y,N
09/13/2020,1:00,13022.3145,1532.5192,3562.8196,795.6572,11733.373,6728.2803,3425,1165.0103,41964.9741,M,N,N
09/13/2020,2:00,12569.4131,1420.176,3518.7236,774.1277,11020.9268,6345.5356,3203.1118,1119.2189,39971.2335,A3,N,N
09/13/2020,2:00,12423.3018,1429.0205,3520.1609,767.0537,11010.8789,6286.6973,3222.6882,1075.5552,39735.3565,A6,N,N
09/13/2020,2:00,12606.5,1427.49,3498.79,759.651,11034.4004,6283.9302,3188.74,1090.04,39889.5416,E,N,N
09/13/2020,2:00,12701.9004,1439.49,3501.3601,788.95,11085.9004,6285.5098,3143.6101,1122.0601,40068.7809,E1,N,N
09/13/2020,2:00,12692.5,1435.5,3449.45,784.719,11108.7002,6285.9702,3147.3899,1111.5699,40015.7992,E2,N,N
09/13/2020,2:00,12691.7002,1436.86,3503.0901,784.801,11107.2998,6285.3101,3147.5901,1114.66,40071.3113,E3,Y,N
09/13/2020,2:00,12665.707,1433.4247,3489.3,777.2454,11093.2959,6292.6836,3165.176,1108.4165,40025.2491,M,N,N
09/13/2020,3:00,12097.8789,1394.3638,3487.0498,765.7883,10536.0859,6033.0649,3026.2449,1069.4957,38409.9722,A3,N,N
09/13/2020,3:00,12106.9365,1377.0118,3486.9731,757.1794,10541.7305,6001.2881,3026.0681,1065.6661,38362.8536,A6,N,N
09/13/2020,3:00,12160,1389.99,3467.3701,748.886,10457.7998,5886.4902,3036.3601,1050.86,38197.7562,E,N,N
09/13/2020,3:00,12082.5,1392.11,3475.0601,732.614,10586.2998,5932.75,3024.99,1035.5601,38261.884,E1,N,N
09/13/2020,3:00,12096.5996,1389.8,3480.55,740.108,10585.0996,5930.5601,3019.3601,1036.09,38278.1674,E2,N,N
09/13/2020,3:00,12096.5,1391.58,3481.3799,739.883,10587,5930.9199,3019.5901,1034.34,38281.1929,E3,Y,N
09/13/2020,3:00,12108.8008,1390.8123,3477.8384,744.5195,10535.5586,5924.8608,3029.136,1043.0316,38254.558,M,N,N
09/13/2020,4:00,11726.8945,1309.1133,3501.1108,727.3815,10066.6982,5681.1162,2921.1221,998.9109,36932.3475,A3,N,N
09/13/2020,4:00,11683.7109,1281.1517,3473.0288,718.787,10085.8164,5635.6011,2938.1299,1004.998,36821.2238,A6,N,N
09/13/2020,4:00,11786,1308.2,3473.5901,724.761,10042.2998,5683.8398,2923.05,1019.85,36961.5907,E,N,N
09/13/2020,4:00,11704.2998,1299.92,3452.8701,726.853,10073.0996,5705,2929.03,1022.12,36913.1925,E1,N,N
09/13/2020,4:00,11710.4004,1301.51,3478.0601,724.448,10065.5,5712.6201,2928.04,1021.34,36941.9186,E2,N,N
09/13/2020,4:00,11712.5996,1300.78,3452.74,728.517,10066,5713.02,2927.55,1022.11,36923.3166,E3,Y,N
09/13/2020,4:00,11738.3574,1302.7925,3469.3445,725.8169,10061.71,5704.8574,2925.929,1019.5092,36948.3169,M,N,N
09/13/2020,5:00,11486.6279,1288.7869,3454.0967,734.1147,9898.3174,5628.2471,2836.8416,1021.0916,36348.1239,A3,N,N
09/13/2020,5:00,11437.2021,1251.2765,3436.8635,726.7124,9891.2129,5585.313,2840.6328,1010.6561,36179.8693,A6,N,N
09/13/2020,5:00,11566.4004,1290.0699,3484.1101,727.862,9772.5703,5507.5,2825.47,988.518,36162.5007,E,N,N
09/13/2020,5:00,11463.0996,1282.16,3444.01,733.183,9763.5596,5535.2202,2791.74,981.093,35994.0654,E1,N,N
09/13/2020,5:00,11444.5,1285.9,3489.9099,730.738,9764.9805,5520.5898,2791.1299,976.918,36004.6661,E2,N,N
09/13/2020,5:00,11443.0996,1286.33,3447.6101,728.678,9762.5596,5520.6201,2791.6699,976.157,35956.7243,E3,Y,N
09/13/2020,5:00,11481.4199,1286.6777,3468.6477,729.4681,9775.2383,5526.293,2806.7114,985.4764,36059.9325,M,N,N
09/13/2020,6:00,11451.3926,1273.0889,3492.8713,756.6747,9933.0713,5610.9946,2786.0212,1005.9753,36310.0899,A3,N,N
09/13/2020,6:00,11445.8613,1273.88,3457.5784,747.5019,9928.6807,5607.3872,2779.8267,1007.9811,36248.6973,A6,N,N
09/13/2020,6:00,11453.0996,1263.55,3485.99,742.129,9794.9297,5540.3101,2782.26,985.92,36048.1884,E,N,N
09/13/2020,6:00,11439.5996,1259.39,3465.48,763.561,9825.3604,5500.1499,2740.1299,974.725,35968.3958,E1,N,N
09/13/2020,6:00,11394.7002,1250.47,3496.47,758.368,9797.5,5489.6602,2737.3999,977.902,35902.4703,E2,N,N
09/13/2020,6:00,11393.2998,1254.5601,3468.48,762.132,9794.3799,5486.52,2737.28,980.377,35877.0288,E3,Y,N
09/13/2020,6:00,11420.0439,1258.5034,3480.7417,754.9299,9805.5576,5514.0029,2753.0613,983.0313,35969.872,M,N,N
09/13/2020,7:00,11509.0527,1315.068,3492.876,771.9656,10007.4717,5618.2031,2818.4797,1026.4851,36559.6019,A3,N,N
09/13/2020,7:00,11349.7598,1300.0095,3485.4937,767.5197,9978.1064,5579.4097,2807.5815,1014.5559,36282.4362,A6,N,N
09/13/2020,7:00,11424.2002,1321.77,3490.78,783.899,9804.7695,5481,2809.0601,1013.87,36129.3488,E,N,N
09/13/2020,7:00,11407.5,1299.8,3489.96,774.232,9850.9902,5493.1099,2858.3501,1048.4399,36222.3821,E1,N,N
09/13/2020,7:00,11429.2002,1291.66,3505.6101,777.884,9824.7305,5488.3301,2843.97,1051.72,36213.1049,E2,N,N
09/13/2020,7:00,11423.2002,1287.66,3490.0701,776.826,9824.8701,5487.6699,2842.01,1049.24,36181.5463,E3,Y,N
09/13/2020,7:00,11434.9355,1300.7971,3495.0645,777.9269,9842.5723,5500.0679,2832.6116,1037.7876,36221.7634,M,N,N
