DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
04/23/2019,1:00,9688.6895,1195.897,3022.0215,732.8576,9712.4902,5045.6138,2779.3232,1169.2454,33346.1382,A3,N,N
04/23/2019,1:00,9521.9375,1206.0443,2988.8987,734.2237,9759.583,5118.5874,2746.1582,1162.9276,33238.3604,A6,N,N
04/23/2019,1:00,9781.9697,1204.48,2949.1101,754.577,9868.0098,5075.4302,2702.01,1177.6,33513.1868,E,Y,N
04/23/2019,1:00,9788.2402,1223.42,2969.21,752.905,9890.25,5064.2202,2734.3899,1191.41,33614.0453,E1,N,N
04/23/2019,1:00,9781.9404,1204.72,2949.52,754.577,9868.4502,5074.6899,2700.1899,1183.9,33517.9874,E2,N,N
04/23/2019,1:00,9784.9502,1217.46,2989.4399,754.607,9880.0596,5061.1201,2735.4299,1192.74,33615.8067,E3,N,N
04/23/2019,1:00,9724.6221,1208.6702,2978.0334,747.2912,9829.8076,5073.2769,2732.917,1179.6372,33474.2556,M,N,N
04/23/2019,2:00,9382.0908,1135.3815,2986.9309,718.9767,9257.4385,4759.7061,2549.27,1061.5343,31851.3288,A3,N,N
04/23/2019,2:00,9402.9258,1131.4274,3000.2839,726.6675,9293.3086,4816.7188,2565.5088,1075.1803,32012.0211,A6,N,N
04/23/2019,2:00,9375.9199,1210,2977.52,716.334,9322.3301,4778.02,2560.8401,1070.47,32011.4341,E,Y,N
04/23/2019,2:00,9364.6104,1112.86,2970.71,713.683,9324.1396,4785.8599,2550.8401,1029.17,31851.873,E1,N,N
04/23/2019,2:00,9375.9902,1209.83,2977.04,716.334,9322.0498,4776.1802,2557.72,1074.66,32009.8042,E2,N,N
04/23/2019,2:00,9367.0596,1116.13,2947.49,718.106,9340.4502,4789.0898,2550.96,1027.05,31856.3356,E3,N,N
04/23/2019,2:00,9378.0996,1152.6047,2976.6626,718.3502,9309.9531,4784.2627,2555.8564,1056.3441,31932.1334,M,N,N
04/23/2019,3:00,9126.1172,1136.4103,2982.95,707.1807,8877.3564,4540.2056,2494.4463,1061.5121,30926.1786,A3,N,N
04/23/2019,3:00,9115.457,1139.8212,2986.5769,711.5356,8882.2676,4533.853,2503.5662,1066.0903,30939.1678,A6,N,N
04/23/2019,3:00,9098.0498,1153.26,2969.79,709.481,8920.3799,4519.9399,2541.6299,1066.48,30979.0105,E,Y,N
04/23/2019,3:00,9083.4004,1159.98,2965.02,709.493,8903.8301,4517.6802,2527.9199,1076.01,30943.3336,E1,N,N
04/23/2019,3:00,9098.8301,1152.95,2969.51,709.496,8921.54,4519.4199,2539.1001,1067,30977.8461,E2,N,N
04/23/2019,3:00,9085.6299,1136.65,2936.48,703.796,8927.8701,4539.8799,2508.1201,1045.77,30884.196,E3,N,N
04/23/2019,3:00,9101.2471,1146.512,2968.3879,708.4971,8905.541,4528.4966,2519.1304,1063.8104,30941.6225,M,N,N
04/23/2019,4:00,8991.0293,1110.7476,2984.0005,698.8101,8690.7461,4521.8242,2479.5015,1029.3433,30506.0026,A3,N,N
04/23/2019,4:00,8998.7051,1117.2859,2990.0176,707.7425,8707.1299,4530.959,2480.6597,1029.6533,30562.153,A6,N,N
04/23/2019,4:00,8981.1201,1147.28,2950.0801,694.746,8752.9805,4507.7202,2453.8601,1045.95,30533.737,E,Y,N
04/23/2019,4:00,8958.3398,1108.1801,2959.6899,695.753,8661.4502,4521.52,2515.52,1028.85,30449.303,E1,N,N
04/23/2019,4:00,8981.1602,1146.5699,2950.0701,694.743,8754.2197,4504.8901,2452.3701,1054.6,30538.6231,E2,N,N
04/23/2019,4:00,8954.1396,1113.66,2952.0801,693.448,8681.4805,4497.1001,2505.8201,1022.02,30419.7484,E3,N,N
04/23/2019,4:00,8977.416,1123.9539,2964.323,697.5404,8708.001,4514.0024,2481.2886,1035.0693,30501.5946,M,N,N
04/23/2019,5:00,9081.3389,1130.3333,2979.2815,694.3208,8778.8477,4569.3901,2455.7727,1022.957,30712.242,A3,N,N
04/23/2019,5:00,9062.5674,1135.7369,3001.9888,688.6923,8684.1113,4573.5645,2453.8633,1000.0878,30600.6123,A6,N,N
04/23/2019,5:00,9098.9004,1167.88,2962.4099,699.507,8849.6602,4551.04,2444.8899,1014.99,30789.2774,E,Y,N
04/23/2019,5:00,9157.8398,1148.04,2971.0801,692.675,8792.9102,4585.1699,2412.52,1009.28,30769.515,E1,N,N
04/23/2019,5:00,9098.8799,1167.73,2962.22,699.507,8850.0703,4547.8501,2443.79,1011.97,30782.0173,E2,N,N
04/23/2019,5:00,9121.6904,1151.36,2961.6399,690.387,8762.7803,4570.0898,2451.53,1020.1,30729.5774,E3,N,N
04/23/2019,5:00,9103.5361,1150.1801,2973.1035,694.1815,8786.3965,4566.1846,2443.7278,1013.2308,30730.5409,M,N,N
04/23/2019,6:00,9594.2715,1191.4651,2977.1709,718.0579,9312.6318,4844.1558,2605.2024,1057.4404,32300.3958,A3,N,N
04/23/2019,6:00,9619.1748,1203.2473,2984.2144,720.4429,9332.0254,4838.4048,2603.7932,1060.4694,32361.7722,A6,N,N
04/23/2019,6:00,9599.9199,1212.12,2949.5901,731.561,9457.6699,4829.6201,2594.5901,1077.16,32452.2311,E,Y,N
04/23/2019,6:00,9549.5898,1195.49,2986.72,723.651,9343.3301,4763.4902,2726.3501,1053.42,32342.0412,E1,N,N
04/23/2019,6:00,9599.9297,1210.87,2949.22,731.561,9455.2998,4828.8999,2593.01,1073.64,32442.4304,E2,N,N
04/23/2019,6:00,9571.3096,1204.5699,2988.0901,718.467,9322.2598,4810.3999,2676.7,1040.8199,32332.6162,E3,N,N
04/23/2019,6:00,9589.0332,1202.9604,2972.501,723.9568,9370.5361,4819.1616,2633.2744,1060.4917,32371.9152,M,N,N
04/23/2019,7:00,10293.1484,1330.9581,2981.7781,782.8415,10414.9658,5437.8955,2821.571,1170.7645,35233.9229,A3,N,N
