DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
10/26/2021,1:00,12466.4297,1521.8699,3922.1196,894.3973,11717.5313,6567.3906,3573.4104,1402.8657,42066.0145,A3,N,N
10/26/2021,1:00,12505.0801,1523.3435,3906.624,900.4317,11570.207,6535.4136,3666.5039,1353.2787,41960.8825,A6,N,N
10/26/2021,1:00,12344,1507.4399,3986.6001,917.446,11474.0996,6721.3198,3609.76,1437.02,41997.6854,E,N,N
10/26/2021,1:00,12342.2998,1510.14,4020.1499,917.663,11474.5996,6719.1602,3609.6201,1439.24,42032.8726,E1,N,N
10/26/2021,1:00,12344,1504.49,3982.5701,918.122,11474.5,6723.6099,3612.96,1440.38,42000.632,E2,Y,N
10/26/2021,1:00,12343.7002,1504.49,3982.6201,917.446,11475.4004,6723.6099,3612.96,1439.95,42000.1766,E3,N,N
10/26/2021,1:00,12343.5,1506.6401,3992.9851,917.6693,11474.6504,6721.9248,3611.325,1439.1475,42007.8422,M,N,N
10/26/2021,2:00,11658.2051,1378.7521,3990.3359,868.7646,10824.0508,6353.3325,3470.4788,1324.1256,39868.0454,A3,N,N
10/26/2021,2:00,11537.4404,1395.7706,4003.6753,873.9526,10835.2754,6302.8032,3458.6565,1276.8092,39684.3832,A6,N,N
10/26/2021,2:00,11742,1396.59,3992.9299,859.008,11065.5996,6343.5898,3513.2,1224.72,40137.6373,E,N,N
10/26/2021,2:00,11742.0996,1396.95,3972.21,859.143,11064.5996,6343.9302,3514.1499,1227.27,40120.3523,E1,N,N
10/26/2021,2:00,11742,1393.7,3992.6899,859.35,11064.7002,6346.9102,3515.8401,1227.0699,40142.2603,E2,Y,N
10/26/2021,2:00,11742.4004,1393.7,3974.0601,859.008,11063.5996,6346.9102,3515.8401,1227.6801,40123.1985,E3,N,N
10/26/2021,2:00,11742.125,1395.2351,3982.9727,859.1273,11064.625,6345.335,3514.7573,1226.6851,40130.8625,M,N,N
10/26/2021,3:00,11457.0645,1367.7037,3924.2231,851.9986,10433.5186,6083.6377,3401.7534,1324.9946,38844.8942,A3,N,N
10/26/2021,3:00,11341.7207,1376.6359,3926.8518,857.9371,10471.79,6038.6831,3394.7659,1318.1641,38726.5486,A6,N,N
10/26/2021,3:00,11443,1331.21,3904.3701,847.767,10655.7998,6077.2798,3395.8301,1325.76,38981.0168,E,N,N
10/26/2021,3:00,11442.9004,1331.61,3914.23,848.974,10657.5,6077.23,3395.97,1326.0601,38994.4745,E1,N,N
10/26/2021,3:00,11443,1329.37,3904.8999,850.475,10658.7002,6077.04,3396.4299,1326.0699,38985.9849,E2,Y,N
10/26/2021,3:00,11445.5,1329.37,3914.0901,848.491,10660.7998,6077.04,3396.4299,1325.22,38996.9408,E3,N,N
10/26/2021,3:00,11443.5996,1330.39,3909.3975,848.9267,10658.2002,6077.1475,3396.1648,1325.7776,38989.6039,M,N,N
10/26/2021,4:00,11316.0801,1333.2982,3906.9526,841.212,10352.0742,6064.5542,3323.9548,1311.2062,38449.3323,A3,N,N
