DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
02/05/2018,1:00,8008.2847,1418.1624,2556.4702,1080.3397,12020.0371,4299.522,2274.949,1304.4747,32962.2398,A3,N,N
02/05/2018,1:00,8048.0352,1266.7061,2533.8523,988.7245,12614.6094,4564.0303,2432.8777,1157.1582,33605.9937,A6,N,N
02/05/2018,1:00,8175.5298,1429.1801,2601.46,1007.5,12041,4397.29,2465.4399,1074.04,33191.4398,E,N,N
02/05/2018,1:00,8146.8799,1438.66,2589.78,1007.45,11996.0996,4403.48,2464.7,1088.67,33135.7195,E1,Y,N
02/05/2018,1:00,8070.98,1429.0699,2598.6799,987.179,11886.2002,4313.6201,2486.1599,1074.01,32845.899,E2,N,N
02/05/2018,1:00,8175.5298,1426.5601,2593.8401,1004.32,12041,4396.9302,2477.26,1096.28,33211.7202,E3,N,N
02/05/2018,2:00,7944.8027,1440.4817,2580.4058,1034.1833,12239.7822,4294.3574,2375.7781,1161.6985,33071.4897,A3,N,N
02/05/2018,2:00,7907.105,1349.8832,2568.1663,1037.9651,12183.3203,4275.5444,2370.55,1154.2548,32846.7891,A6,N,N
02/05/2018,2:00,7890.5498,1316.41,2567.8401,1043.84,12412.7998,4210.1499,2379.78,1129.36,32950.7296,E,N,N
02/05/2018,2:00,7921.75,1311.95,2578.5901,1043.73,12426.7002,4221.6201,2379.52,1128.04,33011.9004,E1,Y,N
02/05/2018,2:00,7925.3701,1316.4399,2570.1599,1061.14,12441.5996,4239.6201,2371.05,1129.33,33054.7096,E2,N,N
02/05/2018,2:00,7890.5498,1325.4,2570.1699,1060.3,12412.7998,4211.23,2369.77,1165.4,33005.6195,E3,N,N
02/05/2018,3:00,7888.353,1465.9972,2612.8945,1074.757,12585.2588,4251.3198,2369.6331,1156.3187,33404.5321,A3,N,N
02/05/2018,3:00,7910.7368,1433.9835,2623.364,1068.9624,12501.6035,4103.2002,2370.1968,1145.2849,33157.3321,A6,N,N
02/05/2018,3:00,7883.2598,1458.66,2619.8701,1113.96,12763.7002,4263.1201,2383.2,1129.04,33614.8102,E,N,N
02/05/2018,3:00,7905.02,1456.86,2616.05,1113.96,12736.2998,4270.9902,2384.24,1119.9301,33603.3501,E1,Y,N
02/05/2018,3:00,7946.2402,1458.5601,2607.04,1111.3199,12829.2002,4317.2798,2398.5601,1129.03,33797.2303,E2,N,N
