DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
08/23/2018,1:00,13872.2822,1829.8184,3013.9346,959.9901,13769.4336,8556.376,3838.2258,1479.5453,47319.606,A3,N,N
08/23/2018,1:00,13932.4736,1694.2439,3012.8872,962.028,13966.6592,8442.1973,3824.2952,1537.7396,47372.524,A6,N,N
08/23/2018,1:00,14020.9004,1761.85,3039.5801,991.289,14037.9004,8358.5098,3900.3,1533.64,47643.9697,E,N,N
08/23/2018,1:00,13950.9004,1750.34,3037.5801,991.323,13941.0996,8264.5195,3899.23,1523.53,47358.5226,E1,N,N
08/23/2018,1:00,14019.2002,1763.35,3037.9099,1008.49,14028.2998,8336.0898,3921.1001,1545.36,47659.7998,E2,Y,N
08/23/2018,1:00,13954.5,1746.1801,3046.03,1006.05,13939.5996,8278.5801,3899.45,1520.58,47390.9698,E3,N,N
08/23/2018,1:00,13958.376,1757.6304,3031.3203,986.5284,13947.166,8372.7129,3880.4336,1523.3992,47457.5668,M,N,N
08/23/2018,2:00,13215.3418,1685.412,2969.2939,916.7072,12764.251,7695.0659,3665.2522,1402.7456,44314.0696,A3,N,N
08/23/2018,2:00,13355.7021,1620.2502,2972.6021,909.6716,12818.5781,7674.4248,3665.0288,1412.5314,44428.7891,A6,N,N
08/23/2018,2:00,13249.7998,1644.58,3008,931.373,12531.4004,7638.54,3630.6399,1425.24,44059.5731,E,N,N
08/23/2018,2:00,13262.2002,1629.17,3010.98,930.559,12675.2002,7719.2998,3632.71,1437.73,44297.8492,E1,N,N
08/23/2018,2:00,13295.5,1658.72,2995.96,939.32,12768.0996,7738.8599,3660.52,1438.12,44495.0995,E2,Y,N
08/23/2018,2:00,13259.2998,1626.12,3000.49,921.461,12664.2002,7711.8599,3631.03,1420.3101,44234.771,E3,N,N
08/23/2018,2:00,13272.9746,1644.0421,2992.8877,924.8487,12703.6221,7696.3418,3647.5303,1422.7795,44305.0268,M,N,N
08/23/2018,3:00,12676.2363,1589.8066,2891.4355,905.9556,12258.6729,7202.481,3487.9895,1424.4698,42437.0472,A3,N,N
08/23/2018,3:00,12690.4053,1555.3621,2894.5181,897.9194,12139.3516,7318.1631,3486.4343,1421.2894,42403.4433,A6,N,N
08/23/2018,3:00,12678.5,1572.41,2884.76,916.708,12074.2002,7178.8101,3481.0701,1405.77,42192.2284,E,N,N
08/23/2018,3:00,12684.2002,1576.53,2855.21,921.605,12208.9004,7213.8398,3492.9199,1432.86,42386.0653,E1,N,N
08/23/2018,3:00,12724.7002,1588.9399,2900.25,914.064,12168.0996,7273.1699,3487.5901,1430.26,42487.0737,E2,Y,N
08/23/2018,3:00,12701,1573.62,2876.3899,908.681,12121.7002,7216.29,3481.8201,1439.02,42318.5212,E3,N,N
08/23/2018,3:00,12692.5078,1576.1116,2883.7607,910.8222,12161.8203,7233.792,3486.3042,1425.6116,42370.7304,M,N,N
08/23/2018,4:00,12032.7939,1536.9353,2831.8101,892.5168,11820.8447,6894.9546,3371.5266,1406.5665,40787.9485,A3,N,N
08/23/2018,4:00,12185.1367,1509.9323,2828.3892,885.8137,11826.0957,6948.6709,3357.574,1404.8274,40946.4399,A6,N,N
08/23/2018,4:00,12398,1533.4301,2786.52,888.905,11790.5,6909.8198,3359.75,1412.42,41079.3449,E,N,N
08/23/2018,4:00,12419.5996,1543.5,2776.3101,889.964,11874,6955.2598,3359.79,1445.99,41264.4135,E1,N,N
08/23/2018,4:00,12447.5996,1544.11,2811.28,891.817,11733,6964,3364.9399,1443.65,41200.3965,E2,Y,N
08/23/2018,4:00,12412,1538.3101,2793.78,887.967,11806.2998,6952.1899,3360.02,1465.88,41216.4468,E3,N,N
08/23/2018,4:00,12315.8564,1534.3696,2804.6816,889.4973,11808.457,6937.4824,3362.2671,1429.889,41082.5004,M,N,N
08/23/2018,5:00,12375.4453,1517.1473,2828.7842,897.2571,11878.251,6785.356,3261.4109,1379.8529,40923.5047,A3,N,N
08/23/2018,5:00,12239.457,1488.5967,2821.1855,895.6376,11798.3584,6732.0396,3277.0596,1392.4639,40644.7983,A6,N,N
08/23/2018,5:00,12346,1527.78,2748.49,897.866,11872.0996,6733.4102,3280.98,1440.0699,40846.6957,E,N,N
08/23/2018,5:00,12331.9004,1525.74,2770.5701,901.352,11863.7002,6701.6201,3270.1599,1425.25,40790.2927,E1,N,N
08/23/2018,5:00,12397.2998,1535.96,2779.3401,895.045,11677.7998,6806.3198,3296.76,1433.12,40821.6445,E2,Y,N
08/23/2018,5:00,12341.0996,1529.72,2755.1599,900.255,11849.2002,6733.79,3281.5801,1450.4,40841.2048,E3,N,N
