DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
03/07/2021,1:00,8416.2051,1283.0713,3473.094,737.5861,10014.541,5466.4253,2444.7415,1171.9323,33007.5966,A3,N,N
03/07/2021,1:00,8283.1094,1311.4113,3569.0999,730.0385,10015.9463,5473.5742,2415.2188,1074.7235,32873.1219,A6,N,N
03/07/2021,1:00,8401,1364,3497,774,9939,4973,2362,1102,32412,E,N,N
03/07/2021,1:00,8455,1383,3574,776,10203,4982,2341,1084,32798,E1,N,N
03/07/2021,1:00,8452,1376,3576,779,10192,4983,2347,1081,32786,E2,N,N
03/07/2021,1:00,8442,1378,3569,780,10199,4981,2344,1089,32782,E3,N,N
03/07/2021,1:00,8426.0557,1365.3784,3541.2715,772.0927,10107.6172,5031.7798,2361.4678,1100.5881,32706.2512,M,Y,N
03/07/2021,2:00,8220.8594,1439.1552,3529.8779,784.9429,9841.9355,4845.8682,2279.9436,1130.8245,32073.4072,A3,N,N
03/07/2021,2:00,8266.6035,1427.1581,3525.1599,776.5441,9983.6094,4843.4111,2274.0205,1115.0365,32211.5431,A6,N,N
03/07/2021,2:00,8294,1358,3498,770,9862,4906,2296,1086,32070,E,N,N
03/07/2021,2:00,8324,1375,3581,769,10104,4899,2251,1093,32396,E1,N,N
03/07/2021,2:00,8313,1366,3583,772,10100,4911,2252,1088,32385,E2,N,N
03/07/2021,2:00,8295,1357,3564,778,9983,4903,2265,1087,32232,E3,N,N
03/07/2021,2:00,8296.5547,1368.7292,3550.771,775.6414,9998.0859,4899.5703,2268.877,1093.1616,32251.3911,M,Y,N
03/07/2021,3:00,8186.9771,1355.3601,3559.6326,780.3387,9983.5205,4918.1343,2246.3884,1127.5519,32157.9036,A3,N,N
03/07/2021,3:00,8857.748,1393.0415,3526.3435,772.5857,10062.9912,4993.332,2268.2878,1127.4763,33001.806,A6,N,N
03/07/2021,3:00,8213,1439,3594,809,10123,4787,2229,1096,32290,E,N,N
03/07/2021,3:00,8231,1438,3567,805,10066,4814,2248,1094,32263,E1,N,N
03/07/2021,3:00,8235,1442,3568,801,10072,4832,2250,1092,32292,E2,N,N
03/07/2021,3:00,8272,1422,3574,798,10150,4850,2252,1052,32370,E3,N,N
03/07/2021,3:00,8233.5654,1428.172,3574.6133,800.1674,10088.2529,4830.3223,2243.3748,1087.4618,32285.9299,M,Y,N
03/07/2021,4:00,8192.3291,1396.009,3603.5208,799.9103,10143.2256,4879.5215,2199.8318,1108.6041,32322.9522,A3,N,N
03/07/2021,4:00,8232.7207,1465.1613,3471.71,807.7978,10047.4795,4948.4883,2224.394,1162.5658,32360.3174,A6,N,N
03/07/2021,4:00,8235,1466,3614,829,10262,4851,2218,1103,32578,E,N,N
03/07/2021,4:00,8262,1466,3602,824,10121,4911,2225,1062,32473,E1,N,N
03/07/2021,4:00,8265,1470,3602,824,10140,4923,2230,1063,32517,E2,N,N
03/07/2021,4:00,8263,1463,3600,825,10111,4938,2211,1051,32462,E3,N,N
03/07/2021,4:00,8245.5361,1460.1281,3604.8232,821.7986,10158.9307,4905.4316,2217.8569,1073.8923,32488.3975,M,Y,N
03/07/2021,5:00,8303.7539,1382.4525,3583.2815,835.8901,10066.4355,5027.147,2212.6829,1107.9979,32519.6413,A3,N,N
03/07/2021,5:00,8254.9404,1498.3732,3624.7742,837.7545,10306.8545,4992.4287,2248.7163,1167.7767,32931.6185,A6,N,N
03/07/2021,5:00,8392,1520,3611,855,10521,5020,2216,1087,33222,E,N,N
03/07/2021,5:00,8313,1520,3596,851,10406,5050,2210,1039,32985,E1,N,N
03/07/2021,5:00,8316,1523,3592,854,10410,5058,2220,1044,33017,E2,N,N
03/07/2021,5:00,8294,1523,3586,849,10400,5045,2208,1053,32958,E3,N,N
03/07/2021,5:00,8328.584,1503.1765,3594.2341,851.0503,10406.9355,5040.3936,2215.0845,1064.0039,33003.4624,M,Y,N
03/07/2021,6:00,8553.8672,1535.2108,3603.2356,886.7744,10901.6768,5256.7837,2281.7742,1145.019,34164.3417,A3,N,N
03/07/2021,6:00,8410.9521,1520.0314,3707.55,880.4853,10924.1113,5181.498,2370.6692,1163.4047,34158.702,A6,N,N
03/07/2021,6:00,8616,1584,3614,880,10906,5292,2289,1124,34305,E,N,N
03/07/2021,6:00,8447,1565,3599,868,10658,5170,2251,1134,33692,E1,N,N
03/07/2021,6:00,8457,1571,3601,868,10661,5183,2257,1136,33734,E2,N,N
03/07/2021,6:00,8481,1557,3601,865,10643,5162,2261,1167,33737,E3,N,N
03/07/2021,6:00,8512.377,1568.0026,3604.2354,872.2482,10737.6016,5209.4307,2268.2319,1141.2155,33913.3429,M,Y,N
03/07/2021,7:00,8877.2656,1681.3245,3646.9099,930.552,11377.0684,5433.125,2380.2703,1271.6526,35598.1683,A3,N,N
03/07/2021,7:00,8729.6758,1706.9763,3792.449,894.1962,11535.4443,5761.8369,2424.7058,1274.4155,36119.6998,A6,N,N
03/07/2021,7:00,8889,1671,3643,915,11512,5574,2378,1243,35825,E,N,N
03/07/2021,7:00,8827,1633,3625,894,11428,5481,2349,1319,35556,E1,N,N
03/07/2021,7:00,8840,1633,3625,895,11424,5480,2352,1316,35565,E2,N,N
03/07/2021,7:00,8846,1633,3629,898,11521,5483,2372,1358,35740,E3,N,N
03/07/2021,7:00,8852.9355,1646.0691,3633.4004,903.9894,11439.416,5504.2817,2365.6943,1302.7339,35648.5203,M,Y,N
03/07/2021,8:00,8978.4141,1677.6808,3605.4185,967.5338,11745.9844,5795.5815,2411.3167,1379.2384,36561.1682,A3,N,N
03/07/2021,8:00,8797.7021,1695.8615,3677.3267,960.9203,11610.4219,5762.0947,2412.4539,1364.7284,36281.5095,A6,N,N
03/07/2021,8:00,8794,1703,3632,944,11642,5625,2368,1383,36091,E,N,N
03/07/2021,8:00,9052,1755,3642,980,12111,5986,2489,1474,37489,E1,N,N
03/07/2021,8:00,9058,1759,3638,981,12106,5977,2491,1477,37487,E2,N,N
03/07/2021,8:00,8990,1767,3633,996,12034,6021,2494,1478,37413,E3,N,N
03/07/2021,8:00,8957.0859,1741.155,3631.7507,972.5702,11911.9854,5877.4678,2449.0251,1439.4722,36980.5123,M,Y,N
03/07/2021,9:00,9135.0039,1710.6382,3531.6013,955.3503,11749.5713,5784.3604,2513.8433,1387.851,36768.2197,A3,N,N
03/07/2021,9:00,9244.7656,1694.5076,3530.165,929.034,11860.0967,6220.3682,2475.1807,1356.9043,37311.0221,A6,N,N
03/07/2021,9:00,8871,1725,3558,964,11640,5709,2455,1467,36389,E,N,N
03/07/2021,9:00,9135,1772,3516,982,11949,5835,2528,1503,37220,E1,N,N
03/07/2021,9:00,9155,1777,3513,983,12001,5857,2536,1506,37328,E2,N,N
03/07/2021,9:00,9070,1759,3533,956,11790,5736,2484,1457,36785,E3,N,N
03/07/2021,9:00,9062.7852,1746.5588,3532.0229,969.8679,11843.4678,5781.1631,2500.4907,1468.6898,36905.0462,M,Y,N
03/07/2021,10:00,9288.3652,1554.5648,3506.613,947.2839,11548.8945,5571.1563,2528.8975,1363.2322,36309.0074,A3,N,N
03/07/2021,10:00,9404.0928,1610.1807,3363.8696,956.6389,11490.749,5595.9004,2360.792,1332.7679,36114.9913,A6,N,N
03/07/2021,10:00,9046,1608,3449,971,11326,5503,2520,1411,35834,E,N,N
03/07/2021,10:00,9157,1583,3448,975,11125,5406,2520,1411,35625,E1,N,N
03/07/2021,10:00,9175,1586,3443,977,11137,5403,2524,1414,35659,E2,N,N
03/07/2021,10:00,9174,1535,3486,970,11062,5346,2501,1388,35462,E3,N,N
03/07/2021,10:00,9160.8955,1574.5515,3464.1904,971.8633,11245.1914,5445.0435,2520.0701,1402.037,35783.8427,M,Y,N
03/07/2021,11:00,9356.6426,1500.578,3393.5781,909.6295,11361.9355,5501.2578,2568.9436,1373.0498,35965.6149,A3,N,N
03/07/2021,11:00,8604.9609,1500.334,3210.5728,896.3972,11304.8135,5635.2715,2539.8462,1345.7161,35037.9122,A6,N,N
03/07/2021,11:00,9118,1456,3339,907,11081,5307,2571,1427,35206,E,N,N
03/07/2021,11:00,9240,1370,3322,910,11312,5437,2522,1417,35530,E1,N,N
03/07/2021,11:00,9250,1369,3318,911,11295,5429,2521,1418,35511,E2,N,N
03/07/2021,11:00,9318,1354,3370,910,11693,5640,2557,1453,36295,E3,N,N
03/07/2021,11:00,9248.3789,1403.8486,3346.917,909.7158,11365.5781,5461.2822,2548.7373,1424.6334,35709.0913,M,Y,N
03/07/2021,12:00,9290.9912,1389.4618,3374.6011,844.8246,11252.1973,5365.9941,2527.574,1382.7921,35428.4362,A3,N,N
03/07/2021,12:00,9386.9902,1404.8461,3510.7095,855.2041,11044.502,5231.6572,2504.8101,1259.1523,35197.8715,A6,N,N
03/07/2021,12:00,9242,1327,3294,862,10733,5180,2508,1404,34550,E,N,N
03/07/2021,12:00,9249,1307,3343,853,10877,5350,2467,1355,34801,E1,N,N
03/07/2021,12:00,9236,1306,3345,852,10872,5337,2463,1357,34768,E2,N,N
03/07/2021,12:00,9228,1362,3365,838,10817,5331,2443,1347,34731,E3,N,N
03/07/2021,12:00,9245.5342,1336.5518,3340.8853,850.0371,10868.7969,5303.1025,2477.9229,1369.224,34792.0547,M,Y,N
03/07/2021,13:00,9110.1836,1308.2239,3393.019,827.0541,10708.9863,5287.9824,2566.3081,1275.6316,34477.389,A3,N,N
03/07/2021,13:00,9239.6699,1304.7931,3401.2124,824.1203,10713.3818,5225.4121,2549.7585,1236.6761,34495.0242,A6,N,N
03/07/2021,13:00,9270,1263,3338,816,10644,5218,2467,1343,34359,E,N,N
03/07/2021,13:00,9165,1265,3448,800,10706,5255,2553,1262,34454,E1,N,N
03/07/2021,13:00,9160,1267,3450,800,10700,5258,2552,1261,34448,E2,N,N
03/07/2021,13:00,9137,1286,3445,810,10616,5180,2584,1216,34274,E3,N,N
03/07/2021,13:00,9176.7451,1275.6218,3413.5535,809.7411,10663.8174,5228.0244,2540.698,1272.3596,34380.5609,M,Y,N
03/07/2021,14:00,9110.207,1333.3215,3426.25,861.0994,10385.1113,5124.6479,2583.3174,1192.965,34016.9195,A3,N,N
03/07/2021,14:00,9199.5273,1313.722,3438.8643,860.6646,10404.9375,5050.5659,2553.1777,1202.7822,34024.2415,A6,N,N
03/07/2021,14:00,9282,1281,3438,827,10428,5221,2473,1227,34177,E,N,N
03/07/2021,14:00,9043,1360,3481,870,10175,5157,2554,1152,33792,E1,N,N
03/07/2021,14:00,9056,1358,3483,869,10180,5159,2555,1150,33810,E2,N,N
03/07/2021,14:00,9075,1395,3464,916,10161,5175,2550,1135,33871,E3,N,N
03/07/2021,14:00,9122.2559,1344.9901,3459.6936,869.3875,10261.5693,5174.8135,2536.9565,1170.9807,33940.6471,M,Y,N
03/07/2021,15:00,9157.0361,1279.7109,3409.4531,830.6303,10109.5576,5131.7021,2604.1702,1156.0518,33678.3121,A3,N,N
03/07/2021,15:00,9144.624,1243.0048,3411.3745,845.0562,10084.4551,5098.8438,2574.1746,1133.2847,33534.8177,A6,N,N
03/07/2021,15:00,9189,1270,3482,840,10158,5175,2529,1129,33772,E,N,N
03/07/2021,15:00,9102,1276,3440,836,10004,5080,2547,1093,33378,E1,N,N
03/07/2021,15:00,9101,1276,3441,833,9991,5088,2545,1094,33369,E2,N,N
03/07/2021,15:00,9121,1227,3426,808,10014,5073,2518,1106,33293,E3,N,N
03/07/2021,15:00,9135.1289,1262.7139,3443.4316,828.5788,10054.9453,5110.4629,2541.8962,1113.3815,33490.5391,M,Y,N
03/07/2021,16:00,9092.9336,1335.4584,3431.8799,829.6213,10063.6328,5148.9668,2665.9956,1151.6658,33720.1542,A3,N,N
03/07/2021,16:00,9158.9375,1249.2876,3420.0095,842.7327,10016.6445,5099.2134,2605.9744,1131.8768,33524.6764,A6,N,N
03/07/2021,16:00,9239,1257,3464,831,10041,5184,2544,1140,33700,E,N,N
03/07/2021,16:00,9192,1270,3422,821,9941,5149,2597,1117,33509,E1,N,N
03/07/2021,16:00,9208,1273,3422,819,9924,5176,2599,1115,33536,E2,N,N
03/07/2021,16:00,9286,1215,3399,789,9834,5078,2588,1080,33269,E3,N,N
03/07/2021,16:00,9218.8672,1261.9324,3427.9849,816.0776,9950.3291,5146.7461,2590.6245,1117.3333,33529.8951,M,Y,N
03/07/2021,17:00,8999.6563,1352.037,3441.6667,816.151,10073.6797,5267.4063,2692.5276,1154.1387,33797.2633,A3,N,N
03/07/2021,17:00,9169.5537,1287.7869,3422.9929,827.0252,10018.2842,5196.1426,2595.9729,1148.4843,33666.2427,A6,N,N
03/07/2021,17:00,9257,1247,3454,810,9979,5255,2600,1129,33731,E,N,N
03/07/2021,17:00,9394,1293,3533,808,10039,5243,2640,1148,34098,E1,N,N
03/07/2021,17:00,9451,1312,3446,808,10120,5366,2663,1142,34308,E2,N,N
03/07/2021,17:00,9252,1213,3372,763,9595,5096,2654,1064,33009,E3,N,N
03/07/2021,17:00,9289.207,1273.6296,3439.8335,798.2689,9937.585,5243.0508,2645.8159,1121.5173,33748.908,M,Y,N
03/07/2021,18:00,9009.6191,1361.8621,3480.9023,786.7488,10222.5137,5350.8857,2673.425,1153.918,34039.8747,A3,N,N
03/07/2021,18:00,9163.0146,1305.1356,3457.1873,796.3107,10191.4805,5287.7905,2559.5061,1146.5256,33906.9509,A6,N,N
03/07/2021,18:00,9104,1244,3479,763,9940,5347,2639,1132,33648,E,N,N
03/07/2021,18:00,9609,1328,3698,780,10364,5300,2689,1160,34928,E1,N,N
03/07/2021,18:00,9611,1359,3473,799,10438,5541,2734,1157,35112,E2,N,N
03/07/2021,18:00,9468,1188,3324,744,9359,5116,2678,1058,32935,E3,N,N
03/07/2021,18:00,9373.0771,1283.9828,3466.3628,772.3436,10007.5645,5332.3608,2683.0532,1125.9897,34044.7345,M,Y,N
03/07/2021,19:00,9175.8604,1422.3843,3543.459,807.0258,10530.6895,5575.6035,2653.186,1147.0444,34855.2529,A3,N,N
03/07/2021,19:00,9333.8564,1372.2108,3514.6716,816.6863,10548.8584,5476.3271,2567.6147,1130.7567,34760.982,A6,N,N
03/07/2021,19:00,9712,1326,3537,765,10526,5646,2773,1171,35456,E,N,N
03/07/2021,19:00,10075,1423,3841,821,10738,5488,2756,1220,36362,E1,N,N
03/07/2021,19:00,9932,1426,3526,808,10893,5758,2828,1203,36374,E2,N,N
03/07/2021,19:00,9267,1177,3488,703,9399,5127,2702,1042,32905,E3,N,N
03/07/2021,19:00,9634.1074,1337.9231,3560.8074,772.5032,10363.0859,5515.7002,2751.8982,1149.8806,35085.906,M,Y,N
03/07/2021,20:00,9533.209,1476.7704,3614.5215,844.7803,10716.8848,5794.5542,2710.3003,1175.5488,35866.5693,A3,N,N
03/07/2021,20:00,9491.7227,1406.7078,3580.1433,850.5587,10830.9082,5670.3135,2671.5347,1166.9303,35668.8192,A6,N,N
03/07/2021,20:00,10052,1401,3624,803,11091,6004,2889,1300,37164,E,N,N
