"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2016/01/01 09:00:00","NORTH","515","14"
"2016/01/01 09:00:00","WEST","1583","14"
"2016/01/01 10:00:00","CAPITL","1233","15"
"2016/01/01 10:00:00","CENTRL","1646","15"
"2016/01/01 10:00:00","DUNWOD","610","15"
"2016/01/01 10:00:00","GENESE","937","15"
"2016/01/01 10:00:00","HUD VL","991","15"
"2016/01/01 10:00:00","LONGIL","2014","15"
"2016/01/01 10:00:00","MHK VL","734","15"
"2016/01/01 10:00:00","MILLWD","285","15"
"2016/01/01 10:00:00","N.Y.C.","4937","15"
"2016/01/01 10:00:00","NORTH","523","15"
"2016/01/01 10:00:00","WEST","1661","15"
"2016/01/01 11:00:00","CAPITL","1277","16"
"2016/01/01 11:00:00","CENTRL","1689","16"
"2016/01/01 11:00:00","DUNWOD","626","16"
"2016/01/01 11:00:00","GENESE","1022","16"
"2016/01/01 11:00:00","HUD VL","1005","16"
"2016/01/01 11:00:00","LONGIL","2148","16"
"2016/01/01 11:00:00","MHK VL","757","16"
"2016/01/01 11:00:00","MILLWD","296","16"
"2016/01/01 11:00:00","N.Y.C.","5141","16"
"2016/01/01 11:00:00","NORTH","526","16"
"2016/01/01 11:00:00","WEST","1661","16"
"2016/01/01 12:00:00","CAPITL","1289","17"
"2016/01/01 12:00:00","CENTRL","1706","17"
"2016/01/01 12:00:00","DUNWOD","641","17"
"2016/01/01 12:00:00","GENESE","1034","17"
"2016/01/01 12:00:00","HUD VL","1014","17"
"2016/01/01 12:00:00","LONGIL","2233","17"
"2016/01/01 12:00:00","MHK VL","752","17"
"2016/01/01 12:00:00","MILLWD","303","17"
"2016/01/01 12:00:00","N.Y.C.","5264","17"
"2016/01/01 12:00:00","NORTH","532","17"
"2016/01/01 12:00:00","WEST","1687","17"
"2016/01/01 13:00:00","CAPITL","1282","18"
"2016/01/01 13:00:00","CENTRL","1704","18"
"2016/01/01 13:00:00","DUNWOD","647","18"
"2016/01/01 13:00:00","GENESE","1043","18"
"2016/01/01 13:00:00","HUD VL","1023","18"
"2016/01/01 13:00:00","LONGIL","2259","18"
"2016/01/01 13:00:00","MHK VL","735","18"
"2016/01/01 13:00:00","MILLWD","298","18"
"2016/01/01 13:00:00","N.Y.C.","5306","18"
"2016/01/01 13:00:00","NORTH","528","18"
"2016/01/01 13:00:00","WEST","1687","18"
"2016/01/01 14:00:00","CAPITL","1273","19"
"2016/01/01 14:00:00","CENTRL","1687","19"
"2016/01/01 14:00:00","DUNWOD","647","19"
"2016/01/01 14:00:00","GENESE","1040","19"
"2016/01/01 14:00:00","HUD VL","1018","19"
"2016/01/01 14:00:00","LONGIL","2255","19"
"2016/01/01 14:00:00","MHK VL","734","19"
"2016/01/01 14:00:00","MILLWD","301","19"
"2016/01/01 14:00:00","N.Y.C.","5317","19"
"2016/01/01 14:00:00","NORTH","524","19"
"2016/01/01 14:00:00","WEST","1683","19"
"2016/01/01 15:00:00","CAPITL","1286","20"
"2016/01/01 15:00:00","CENTRL","1703","20"
"2016/01/01 15:00:00","DUNWOD","648","20"
"2016/01/01 15:00:00","GENESE","1035","20"
"2016/01/01 15:00:00","HUD VL","1025","20"
"2016/01/01 15:00:00","LONGIL","2229","20"
"2016/01/01 15:00:00","MHK VL","749","20"
