FIPS,2016,2017,2018,2019,2020,2021,2022,2023
p01001,55243.0,55390.0,55533.0,55869.0,58915,59203.0,59726.0,60342.0
p01003,207601.0,212521.0,217855.0,223234.0,233227,239439.0,246531.0,253507.0
p01005,25806.0,25157.0,24872.0,24686.0,24969,24533.0,24700.0,24585.0
p01007,22586.0,22550.0,22367.0,22394.0,22188,22359.0,21986.0,21868.0
p01009,57494.0,57787.0,57771.0,57826.0,59107,59079.0,59516.0,59816.0
p01011,10389.0,10176.0,10174.0,10101.0,10229,10143.0,10143.0,9897.0
p01013,20012.0,19888.0,19631.0,19448.0,19025,18890.0,18668.0,18382.0
p01015,114973.0,114710.0,114331.0,113605.0,116243,115678.0,115780.0,116429.0
p01017,33745.0,33707.0,33600.0,33254.0,34651,34488.0,34164.0,34079.0
p01019,25768.0,25805.0,26014.0,26196.0,24969,25074.0,25353.0,25666.0
p01021,43866.0,44120.0,44163.0,44428.0,45057,45259.0,45848.0,46431.0
p01023,13045.0,12925.0,12833.0,12589.0,12626,12548.0,12431.0,12252.0
p01025,24340.0,24063.0,23918.0,23622.0,22987,22740.0,22574.0,22337.0
p01027,13393.0,13350.0,13294.0,13235.0,14212,14170.0,14183.0,14111.0
p01029,14848.0,14899.0,15010.0,14910.0,15064,15156.0,15372.0,15639.0
p01031,51202.0,51853.0,51950.0,52342.0,53549,54199.0,54840.0,55643.0
p01033,54497.0,54695.0,55004.0,55241.0,57304,57644.0,57993.0,58361.0
p01035,12500.0,12431.0,12292.0,12067.0,11554,11320.0,11224.0,11174.0
p01037,10819.0,10724.0,10643.0,10663.0,10335,10314.0,10307.0,10268.0
p01039,37382.0,37062.0,36953.0,37049.0,37506,37570.0,37603.0,37952.0
p01041,13916.0,13858.0,13825.0,13772.0,13163,13069.0,13048.0,13101.0
p01043,82450.0,82867.0,83418.0,83768.0,88136,89639.0,90663.0,92016.0
p01045,49362.0,49342.0,49143.0,49172.0,49257,49395.0,49495.0,49871.0
p01047,40080.0,39238.0,38294.0,37196.0,38171,37515.0,36729.0,36165.0
p01049,71104.0,71437.0,71407.0,71513.0,71659,71912.0,72082.0,72569.0
p01051,81204.0,81422.0,81011.0,81209.0,87861,88789.0,89600.0,90441.0
p01053,37475.0,36993.0,36524.0,36633.0,36685,36660.0,36636.0,36558.0
p01055,102855.0,103007.0,102611.0,102268.0,103453,103010.0,102903.0,103241.0
p01057,16563.0,16466.0,16445.0,16302.0,16331,16127.0,16082.0,15967.0
p01059,31611.0,31542.0,31298.0,31362.0,32078,31998.0,31910.0,31802.0
p01061,26494.0,26385.0,26306.0,26271.0,26698,26620.0,26760.0,26988.0
p01063,8482.0,8310.0,8209.0,8111.0,7700,7614.0,7452.0,7341.0
p01065,14828.0,14801.0,14749.0,14651.0,14772,14726.0,14599.0,14888.0
p01067,17072.0,17115.0,17173.0,17205.0,17169,17433.0,17670.0,17899.0
p01069,104218.0,104378.0,104770.0,105882.0,107284,107470.0,108047.0,108462.0
p01071,51988.0,51828.0,51621.0,51626.0,52545,52719.0,52923.0,53467.0
p01073,660343.0,659599.0,659429.0,658573.0,674717,669990.0,665084.0,662895.0
p01075,13928.0,13882.0,13882.0,13805.0,13953,13736.0,13706.0,13661.0
p01077,92425.0,92564.0,92604.0,92729.0,94025,94853.0,95875.0,96814.0
p01079,33227.0,33063.0,32941.0,32924.0,33089,33073.0,33187.0,33502.0
p01081,159168.0,161440.0,163656.0,164542.0,174754,177596.0,180698.0,183215.0
p01083,92847.0,94130.0,96177.0,98915.0,104203,107303.0,110868.0,114654.0
p01085,10248.0,10097.0,9974.0,9726.0,10285,9945.0,9783.0,9717.0
p01087,19060.0,18793.0,18321.0,18068.0,19464,18905.0,18532.0,18370.0
p01089,356729.0,361762.0,367004.0,372909.0,390503,396671.0,403605.0,412600.0
